ID,IDADE,SALARIO_ANUAL,SITUCAO_MORADIA,ANOS_EMPREGO,MOTIVO_EMPRESTIMO,RANKING_EMPRESTIMO,VALOR_SOLICITADO,TAXA_DE_JURO,RISCO_INADIMP,EMP_VS_RENDA,HISTORICO_INADIMP,ANOS_DE_CREDITO
05Zoymdh-rP3BXSKWfz1r-h6FspjRss9tI-Aatc,25,100000,Hipotecada,6,Empreendimento,B,12000,9.91,0,0.12,N,4
069gPqWu-n3wlHldie1KQ-Tf44wMi6z70F-4hsC,28,48000,Alugada,0,"Melhora do lar",C,7000,12.68,1,0.15,N,10
06lcuEh7-NZRDwIcrmnwR-9puw2iM7mYgM-T1Rm,22,72500,Hipotecada,7,Educativo,A,13200,7.29,0,0.18,N,3
06Nv331q-J1jvbkdkrF7O-1gSm7TRruLfp-QSy1,51,667680,Hipotecada,19,Pessoal,C,10000,13.98,0,0.01,S,22
06OeH5Z1-h0trHpNpSsXM-YpJKCc9F0hne-qo5M,24,205000,Hipotecada,2,Médico,B,11000,10.99,0,0.05,N,4
06sxD5pL-yytnXOiczHM4-xRg8s0EqX8jo-bsZC,27,160000,Hipotecada,4,"Melhora do lar",B,25000,10.99,0,0.16,N,10
070GIuX8-rAfiGxXSldna-ouTgXCZ0gSeA-xjsG,25,75996,Hipotecada,9,Médico,A,9000,7.74,0,0.12,N,3
07cvEc0D-f3R6p2UikZ14-J7uidg9oBfb2-YyAY,23,48000,Alugada,1,Médico,A,2400,8.49,0,0.05,N,4
07d90bS9-6N4ZzMizZoN6-MZSlYUtJHAoI-eTEy,25,23198,Alugada,2,Empreendimento,A,6000,8,0,0.26,N,2
07FcKyu3-kqtKEto8WqIm-cA3hWnPOZ0qA-lSQb,35,24000,Alugada,2,"Pagamento de débitos",C,6000,12.87,0,0.25,N,7
07w0uHDW-vMqcQDj5ZNsh-t85mZHe0uBfK-TjCg,35,42000,Alugada,6,Médico,A,5000,6.99,0,0.12,N,10
080o6UPI-kMLUNYkpOBxv-cO6dLzuETyKF-uc6R,23,90000,Hipotecada,4,Pessoal,C,20000,14.65,0,0.22,S,3
08iwXXZl-5U5xrt6WwqJk-oKBb0fjRt43G-M74x,22,14400,Própria,0,Pessoal,B,2100,11.14,0,0.15,N,4
08OHjneS-aUOjQr9HRiB7-fpqgo7A9tfX1-Kr8o,25,54000,Hipotecada,2,"Melhora do lar",A,13000,6.92,0,0.24,N,4
08oYjbRK-dftzh8SXZUvg-axmpkhp8sK4K-fqyx,24,38000,Alugada,0,"Pagamento de débitos",B,6000,10.39,0,0.16,N,2
08rX5Qdc-ufb00sFrQD5Y-agj26rafzTfN-8awI,23,45312,Alugada,3,Educativo,A,13500,7.88,0,0.3,N,3
08U57lf7-4aJKXcpMCoyx-lvYSCfkGpRbc-kXt8,27,73400,Hipotecada,10,Médico,A,2100,6.76,0,0.03,N,5
095kmLry-GPTXeIoa76FA-d0FH3ph8dE3U-L5I7,22,64000,Alugada,6,Educativo,A,7000,5.79,0,0.11,N,3
09CqiPfG-UoQZoQ2ooYZi-csSLWjLFWJ8d-eoG0,30,45000,Hipotecada,11,Pessoal,D,10000,14.74,1,0.22,N,6
09DqpbZ7-jSP4mygYff6T-izgFvPbbpZEg-5str,28,36000,Alugada,13,Médico,A,10000,8.59,0,0.28,N,9
09gdhdqR-kiFyDcAxKqOk-o2Ermsvyb3Ok-vs15,25,45000,Própria,5,Empreendimento,B,10400,10.25,0,0.23,N,3
09gktGmC-H2HQw2qt0nOF-vv7Stfv4kcWM-4woU,23,45000,Alugada,7,Educativo,B,9000,10.65,0,0.2,N,2
09mgpMgg-5fifr7rGDuT5-cZ5CGrbIwJUv-dPC9,25,66800,Hipotecada,3,"Pagamento de débitos",A,12000,9.63,1,0.18,N,4
09qUUjDn-3HlFN2EKWb8l-qxhljf1a5Wdc-kSWC,25,23198,Alugada,2,Empreendimento,A,6000,8,0,0.26,N,4
09Rxvcfg-ydmcNL7uX39Q-HtM8nI6AEspZ-KsD1,24,40000,Hipotecada,5,"Melhora do lar",A,15000,7.49,0,0.38,N,2
09u4ZfhB-llWY3piovMBn-l6W8w3dysGen-z1zq,27,96000,Hipotecada,4,"Pagamento de débitos",C,2500,12.99,0,0.03,S,10
0A3DkGIw-lDOmOzkNNi76-v0KYMc1UlvDZ-kfyN,32,110888,Hipotecada,0,Médico,B,10400,9.91,0,0.09,N,6
0a9q5Jgt-IDCSQZfY6Mlt-Rm3RkCZupd2X-ufyI,30,47581,Alugada,2,Médico,C,6000,13.16,0,0.13,S,9
0AAHisuj-HFU9zK8tYlv5-xL9YYU8Z4bcw-DhAP,30,90000,Hipotecada,2,"Melhora do lar",B,7000,11.71,0,0.08,N,10
0AC8yDzU-oxw1YaS1l0r1-rl745m4uLABm-4c7S,24,105000,Hipotecada,4,Empreendimento,C,4000,11.34,0,0.04,N,4
0AeYhoxq-8yCK7gjK8OfR-e6KH2vTd45tS-v1sp,24,40944,Alugada,0,Médico,B,8200,11.36,0,0.2,N,4
0aHnowyt-xHJjP7jkyPF7-jmi0bKDNziyM-e2t8,23,34662,Hipotecada,1,"Melhora do lar",B,3000,10.75,1,0.09,N,4
0AhqXkhX-O8BJCEzUepsO-SqWjpgxuysNy-zltA,31,130000,Hipotecada,10,Médico,A,9800,8.49,0,0.08,N,5
0AijkFqW-s2inHNnSjfuG-HGoqMTZnh16k-6Kc1,42,72000,Hipotecada,20,"Melhora do lar",A,8400,6.62,0,0.12,N,11
0AMtXPyt-J5KjfWlOnx3r-619o8j7srJEr-iHHX,32,42000,Alugada,4,Médico,A,3000,7.49,0,0.07,N,10
0AR1pUY8-WyvRK3Fq8H2o-eTSR7Cw816h8-TtQk,28,33000,Alugada,3,"Pagamento de débitos",A,13000,7.9,1,0.39,N,6
0ArqIZfr-CLmAhKtHzbJG-RRdRjskLKOMo-2yTE,26,95000,Alugada,9,"Melhora do lar",D,18000,15.31,0,0.19,N,3
0arvB7pF-mh6rPcWB2Bet-UBw9milej0Q5-WWnM,24,75000,Hipotecada,4,"Pagamento de débitos",C,11200,13.99,0,0.15,S,4
0ATjcoPm-KUIS3Tt08MDk-zJm6PjEsDYq8-K6Gu,21,74000,Hipotecada,0,"Pagamento de débitos",B,15000,11.99,0,0.2,N,3
0aU30mQD-lDxzWKgX5P3L-TQyE3df5sIyB-sBBD,27,20000,Alugada,2,Médico,B,4000,10.65,0,0.2,N,8
0aum7s9J-ix70DEfmdE4Z-72PFbP3MDOPF-KHfG,24,37200,Alugada,2,Pessoal,B,6000,9.99,0,0.16,N,3
0aYA31zb-E5nwsK9Z0Su3-ByoJGw8X3ik5-kpvg,25,61680,Alugada,1,Empreendimento,C,7600,13.23,1,0.12,N,4
0AYDMI7I-XmGqLKsRGGwj-QW3SraYC1kMS-RkKa,23,29730,Alugada,2,"Pagamento de débitos",A,5000,7.66,0,0.17,N,4
0B1yUSdW-2kWEsOOy2ZYc-UfLlffR6BKr1-zMof,22,80000,Hipotecada,3,"Pagamento de débitos",A,6000,7.4,0,0.07,N,3
0B51115i-H5g0NQ7iL2r6-ANw7LYxsSWHW-P7Fv,23,70000,Alugada,1,Empreendimento,A,3500,5.42,0,0.05,N,2
0b6mt3Tm-aFBtl133EYit-M38kBDSTvLie-vSst,25,113000,Alugada,8,"Pagamento de débitos",B,14400,11.71,1,0.13,N,4
0bBF4FGf-Gvi6gtIKUugt-sT3wtM7iboHB-izBW,22,25000,Alugada,3,"Pagamento de débitos",D,1000,15.95,1,0.04,N,2
0bFM9kyp-SgjdqtHvyXO3-PTHpAmZ1PxMI-P2NF,22,25200,Hipotecada,2,Pessoal,A,7000,6.03,0,0.28,N,4
0Bh1GxFW-iFmPtaBZvXsM-O7nYuvn0Lhnh-TJLT,28,136092,Hipotecada,2,Empreendimento,C,8000,13.61,0,0.06,N,5
0BIU0hPP-3LC6v1KH6H8c-r5y5SMq0NTR3-9rWu,25,55800,Hipotecada,1,Pessoal,B,4000,10.75,0,0.07,N,2
0bjyTao6-bmuWhedRfgym-o26zzWLJ1ffZ-hxUF,34,125000,Hipotecada,4,Médico,A,12000,8.94,0,0.1,N,9
0BlibH5r-epYQKmKdmoyy-jJ9fAkDD8dyj-q313,23,21000,Alugada,3,Pessoal,B,10000,12.21,1,0.48,N,4
0Bmexksj-kFXBph4TRNl2-9lDMIcB9kuXB-F70C,31,67200,Hipotecada,2,Pessoal,A,10000,6.03,0,0.15,N,7
0BPHyUme-40LLX3iX1iIy-bGm9zQoFa8yz-vg6g,25,67200,Hipotecada,9,Médico,C,5000,13.8,0,0.07,S,2
0BQOA1pC-8X75G8BbKIIz-vmphQm9QNezi-ILY4,49,64800,Hipotecada,4,"Melhora do lar",D,6625,18.25,0,0.1,N,16
0bWSLrM0-Ai6DFvXwoc5A-mnJU5mLridXJ-WKM2,22,44000,Hipotecada,4,Educativo,B,10000,12.69,0,0.23,N,2
0BxkI26g-Du5PqwUE83Af-P0SDDEpHkEMW-kJTZ,21,29000,Alugada,5,"Pagamento de débitos",B,11325,9.91,1,0.39,N,3
0c3DUzPc-dDzmpav7WMqK-Po794KZUHbfL-xHrh,23,24000,Alugada,0,"Melhora do lar",C,5000,14.27,1,0.21,S,2
0c62jp26-Dvn8kjWyxOEY-vPhlloNcGBLA-LFpr,23,70000,Hipotecada,1,Pessoal,B,5000,11.12,0,0.07,N,3
0C91Mjeo-yrKodDjmX4sE-qqr2iCzdeNbg-T1To,22,60000,Alugada,4,Pessoal,B,6600,10.99,0,0.11,N,2
0CatWyak-BZG4f4UdfG0e-F2T3SmrnPQ2Z-wPuW,26,132000,Hipotecada,3,Pessoal,A,2000,7.51,0,0.02,N,3
0CcmbwWH-WhiDYig4ZXsx-CfXo7Ssfhltt-k0XO,26,67500,Alugada,0,Educativo,B,3000,8.88,0,0.04,N,2
0CCXRgj8-nLTO51Qk3xS2-AZG98nsUruwO-NxcW,24,81000,Hipotecada,0,"Pagamento de débitos",B,15000,12.18,0,0.19,N,4
0CKEt6md-ShawWxPFkxli-ZHMBif2eQYTa-9KjS,32,150000,Alugada,14,Médico,B,4600,9.62,0,0.03,N,6
0CL0t22y-TO9gKoDkbM6G-DZsYAjDSvNBl-qMQ4,24,31200,Alugada,4,Pessoal,B,2725,10.74,0,0.09,N,2
0Cl3tTWH-oenWvevbLW4L-emQrYw8TkU7w-11N3,31,34000,Alugada,9,Empreendimento,B,15000,9.88,1,0.44,N,6
0CmbPtSf-aknUYONPL4oZ-orAuSXhJckXG-OyMH,26,47000,Alugada,7,Médico,A,15000,7.9,1,0.32,N,4
0cnt63zM-guruZuEGdG28-6YYu2kqLx27g-cYqH,27,46000,Alugada,1,Empreendimento,A,10000,9.32,0,0.22,N,7
0COOm1rh-XaoDhhOmo2Z6-UQh9sUuIyNCP-AlFC,22,65000,Hipotecada,1,Pessoal,B,7500,10.08,0,0.12,N,4
0Cop7PrK-mAGKWjfBgBpe-vKH2kWNUFTM2-WpJY,23,68000,Alugada,3,Médico,B,15700,11.49,0,0.23,N,2
0cpaBJdb-JRMZXwI5TN9I-FLfjFpWYInpb-FrbO,32,82350,Alugada,16,Médico,B,4000,9.91,0,0.05,N,9
0cPuEgY6-ZCFg47uya5mW-yLXH9S90zfrF-gpuQ,35,65004,Alugada,2,"Pagamento de débitos",A,6000,7.29,0,0.09,N,10
0cQrIlzj-u0dcc5Pw62U2-9dfpjyILNLUB-zLrn,22,43000,Hipotecada,0,Pessoal,B,6650,10.37,0,0.15,N,3
0CqTxT2z-6uw6j8mEjajT-lHywQKm628kA-vvOc,29,100000,Hipotecada,2,Pessoal,C,5000,15.96,0,0.05,N,8
0cs93Rjn-Fgdr5ldWufed-WJUD8uc86Htt-j0nL,25,50000,Hipotecada,9,"Pagamento de débitos",A,18000,7.88,0,0.36,N,4
0DH3dvnB-HIQvPi9sWAGx-f8pDhRHr9dD9-jREL,25,60000,Hipotecada,2,Educativo,B,10000,12.21,0,0.17,N,3
0dH6Wgub-0LR2ynEeetxE-hvfym7oHEwiv-CsDC,23,45000,Hipotecada,1,Educativo,B,10000,12.21,0,0.22,N,4
0DmXJAaM-fOwZLywpjJri-ZM4Z1ednj7yw-8aJG,25,120000,Alugada,9,Empreendimento,C,4800,14.22,0,0.04,N,4
0Dt9mn80-x831zXBJae71-b7mghy2ohlyt-bWYI,39,708000,Hipotecada,14,"Pagamento de débitos",B,25000,12.18,0,0.04,N,12
0DtKMqaZ-Mk47rrQEgdPZ-oRWfkKKcrYye-ecLj,25,29004,Alugada,0,Pessoal,C,5600,13.79,1,0.19,N,4
0dUbOTco-xG2n237g33Iu-1WN2XgHbTe4C-vn3k,24,48000,Hipotecada,4,Médico,A,4000,5.42,0,0.08,N,4
0DvnUceW-OkzAO4QcejbR-4mHcAZbqKxUj-mBKv,22,48000,Alugada,5,Médico,B,15000,11.89,1,0.31,N,4
0DvtZQKm-vOFxjMYTWBjt-OfQQi3Amdl0d-rO6w,23,59000,Alugada,5,"Pagamento de débitos",A,3000,7.14,0,0.05,N,2
0dYnXd6J-7yE2YP0N3vg7-o4bPH6rK3EMK-qGtv,24,89908,Alugada,1,Empreendimento,B,24250,12.53,0,0.27,N,3
0E5blurd-pAjPXCNSDI8u-D9Y58cJaYwF0-kDk1,30,44760,Alugada,1,Médico,B,3300,11.71,0,0.07,N,5
0E5QkNLY-0nSwaSLwhE5T-hd706w2agqT6-IY97,37,60000,Alugada,0,Empreendimento,C,9700,13.61,0,0.16,S,11
0E71mmbQ-8nqugFi2ZqkB-kkgzgMzupRYp-w2UT,23,50000,Própria,3,Pessoal,B,1500,11.49,0,0.03,N,2
0eaat4Zj-fJRGFujjvcPm-wXwEXWhXxv06-3B6l,25,110000,Hipotecada,5,Educativo,A,10800,6.92,0,0.1,N,3
0ed25Xr0-1HoYKz75JoM8-TNUf8Qg2WQX0-78mG,29,26400,Hipotecada,7,Médico,A,4800,7.66,0,0.18,N,9
0eErRc45-AUk2hfSAzfJo-7ZUS4BIG7MD1-6oJS,24,29000,Hipotecada,1,Médico,D,6000,15.62,1,0.21,N,3
0EgfgtnX-YOZ6ROpQfOPU-UsfabMzuDPxW-xx8c,27,62900,Alugada,3,Médico,D,12000,15.95,1,0.16,N,9
0eJLO9x8-89WYtsROStpp-fPHzJEoHz1PR-FTGZ,30,42600,Alugada,13,Empreendimento,B,12000,11.71,0,0.28,N,8
0elty9Iz-Im6KoK3Aloy5-4EXeN39ijOnQ-dZ0a,29,50000,Hipotecada,0,"Melhora do lar",B,3575,11.49,0,0.07,N,6
0eNlArGI-XfEQjR4nmrvE-x6m7w9ZqkriU-1CKo,34,67656,Própria,18,Empreendimento,A,11000,7.88,0,0.16,N,8
0eqE2vdi-l4aHdbMLvNu7-teNAzcWLv2FZ-LIZ1,25,95000,Hipotecada,7,Pessoal,A,5000,7.43,0,0.05,N,2
0ERrJMwI-QxE3JA1PFznh-hxfRdksQOsK0-GpXN,24,98000,Própria,8,"Melhora do lar",A,12000,6.03,0,0.12,N,3
0eRUPwYC-DHIJUQbMH0zp-IMhownQiR4HX-nwyI,29,53000,Hipotecada,13,"Pagamento de débitos",C,10750,13.11,0,0.2,N,7
0eW0uNcG-xXEehBketzY6-CzLZPnn0ZdPp-yCu7,22,31356,Alugada,0,"Pagamento de débitos",A,3000,7.68,0,0.1,N,4
0ewjp4js-OTrvPyCXqnbW-SKwMI7a6Ekb8-zISh,26,54000,Hipotecada,10,"Pagamento de débitos",A,9000,8.94,0,0.17,N,4
0Ewy5h81-pYTGXc24IjLY-ZbLkeqWXxQAi-TfAd,24,56400,Alugada,4,Médico,D,8000,14.96,1,0.14,S,2
0eypyWWT-Qg0SkdOrvi7k-21mvDOyzWgiA-P1jl,34,14400,Alugada,2,Pessoal,B,2500,10,1,0.17,N,5
0F1HCH6f-mG7I7MN4ZreR-K11y3glGjYSd-CLhz,32,44400,Hipotecada,5,"Melhora do lar",D,6500,14.84,0,0.15,S,7
0f4kqpKJ-IpqsUjfw8w2s-BFRlliXtMSX5-Mfa5,31,69000,Alugada,1,"Pagamento de débitos",D,22000,13.67,1,0.32,S,7
0F4ZjR2j-QrzTCKFk54zR-qIAADoNkanxA-A7iZ,24,72250,Alugada,5,Médico,E,17600,17.19,1,0.21,S,4
0fcl4yJq-zTIXEYOjGkRe-2sUpYZWH7vAl-En4b,35,34000,Alugada,1,Pessoal,B,9250,10.59,1,0.27,N,10
0fDOePLC-Kt755kgvrHN4-iwTENg9Nyy1e-dcRu,32,121500,Hipotecada,11,Empreendimento,A,6000,7.51,0,0.05,N,6
0fEPlFLC-6xJqBlIWQT4c-YaKN4WMivr7S-e20P,24,85000,Alugada,1,Empreendimento,A,10500,6.92,0,0.12,N,3
0FIMaAm6-xFsK1QCY01El-ubrY687IPyYp-jcig,28,50000,Alugada,2,Educativo,D,2000,16.89,1,0.04,N,5
0fLIxFpM-jS4juzF0oDUW-Lr6z6HG5lZs5-Cru8,23,30000,Alugada,7,Médico,B,10000,12.18,1,0.33,N,3
0fm3ohOU-3NlO4TnJ9lnb-pRbpx3xbMeq3-UwlQ,24,61000,Alugada,8,Pessoal,B,11200,9.99,0,0.18,N,3
0Fo6Awuo-c9f2vHFYoJTv-mP22UMNKvAks-703s,23,83000,Hipotecada,5,Educativo,B,20000,11.83,1,0.24,N,4
0fOwUGdS-aEEUtBKNSDpF-D4Ru9vc3i5QA-ghgd,25,66000,Alugada,1,"Melhora do lar",B,5050,11.49,0,0.08,N,2
0fP1s82F-x0299ozZjt4U-ibHmS3PJBbMM-Tx2s,26,85000,Hipotecada,0,Empreendimento,B,20000,10.37,0,0.24,N,2
0fvNJ24a-9X4JSRDId0Bh-IML0vmPHTOD3-UFb2,21,36000,Alugada,3,"Melhora do lar",B,11000,10.37,1,0.31,N,4
0Fw9Bfp0-lEsG5eecHAi4-se2T2TUMOnPM-wLnY,22,95000,Hipotecada,1,Empreendimento,C,7200,12.23,0,0.08,S,4
0fwgco9P-XDnF3zppssj3-pkWHPbdXp1hq-5UMA,21,36000,Alugada,3,Médico,C,10000,13.22,0,0.28,N,4
0FWvbQqZ-zbh9rhgOxOXd-I3RoQlox83UJ-9J7r,40,38000,Alugada,4,"Pagamento de débitos",D,7000,15.99,1,0.18,N,16
0g2ybrbG-82palHOY2CXx-c2clYuQfijcr-RPnh,26,39600,Alugada,3,Pessoal,B,6000,12.42,1,0.15,N,3
0g7M0qhC-I6EQQObwPbTq-0c5qbtKWsiaB-UD8w,26,75000,Alugada,2,Pessoal,C,16000,13.35,0,0.21,S,2
0GEPMvNC-Sv6Pt8P8OAKL-QbgGelme2oLc-uxWa,22,69528,Alugada,6,Pessoal,C,6000,12.99,0,0.09,S,3
0GFemZW0-NZ8RdsmJpZcG-Gpuzl1mPKsQM-G80i,45,45000,Hipotecada,20,Pessoal,A,15625,8.9,0,0.35,N,13
0GgMo1zw-XYHRf7Lyussa-LlrJ0oBKKS6C-u6oD,29,26000,Própria,5,Empreendimento,B,4500,11.71,0,0.17,N,5
0GMtXfbo-Hv5exKzYrwHr-0J74NGB2jh3H-lM2x,29,72500,Alugada,1,Pessoal,A,7000,7.29,0,0.1,N,5
0gMwYier-eW8AI59JkcYQ-BOj8f6RzoiDp-SW4d,27,44004,Alugada,1,Educativo,D,11750,15.31,1,0.27,S,8
0gQA3g8p-8Rdj2WnhF4Zs-SvZbPF9xFdE4-K4XA,25,75000,Hipotecada,9,Empreendimento,B,20000,10.62,0,0.27,N,3
